#bgm:ファイル位置,名前,未定,
#pic:ID,ファイル名,リニア時処理(0:なし 1:左右１ドット 2:上下 3:全部),中心軸(0:左上 1:画像の中心 2:左下 3:右上 4:右下),加算とか
#bpm:開始拍,BPM値
x:0,3,0,0,0

#<r,g,b>:ID,開始拍,長さ拍,頂点カラー,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#<x,y>:ID,開始拍,長さ拍,位置,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#<sx,sy>:ID,開始拍,長さ拍,倍率,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#<angle>:ID,開始拍,長さ拍,角度,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#alpha:ID,開始拍,長さ拍,α0～255,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)


bgm:data/bgm/op.ogg

#中画像
pic:12,data/scene/opening/naka.bmp,0,0,1
pic:20,data/scene/opening/pic00.bmp,0,0,1
pic:21,data/scene/opening/pic01.bmp,0,0,1
pic:22,data/scene/opening/pic02.bmp,0,0,1
pic:23,data/scene/opening/pic03.bmp,0,0,1
pic:24,data/scene/opening/pic04.bmp,0,0,1
pic:25,data/scene/opening/pic05.bmp,0,0,1
pic:26,data/scene/opening/pic06.bmp,0,0,1
pic:27,data/scene/opening/pic06.bmp,0,0,1
pic:29,data/scene/opening/pic08.bmp,0,1,1
pic:28,data/scene/opening/pic07.bmp,0,0,1

pic:60,data/scene/opening/ame/ame00.bmp,0,1,2
pic:60,data/scene/opening/ame/ame01.bmp,0,1,2
pic:60,data/scene/opening/ame/ame02.bmp,0,1,2
pic:60,data/scene/opening/ame/ame03.bmp,0,1,2
pic:60,data/scene/opening/ame/ame04.bmp,0,1,2
pic:60,data/scene/opening/ame/ame05.bmp,0,1,2
pic:60,data/scene/opening/ame/ame06.bmp,0,1,2
pic:60,data/scene/opening/ame/ame07.bmp,0,1,2
pic:60,data/scene/opening/ame/ame08.bmp,0,1,2
pic:60,data/scene/opening/ame/ame09.bmp,0,1,2
pic:60,data/scene/opening/ame/ame10.bmp,0,1,2
pic:60,data/scene/opening/ame/ame11.bmp,0,1,2
interval:60,56

pic:61,data/scene/opening/yuki/yuki00.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki01.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki02.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki03.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki04.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki05.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki06.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki07.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki08.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki09.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki10.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki11.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki12.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki13.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki14.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki15.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki16.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki17.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki18.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki19.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki20.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki21.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki22.bmp,0,1,2
pic:61,data/scene/opening/yuki/yuki23.bmp,0,1,2
