entry,name,size,params,callees
00401000,FUN_00401000,387,2,"FUN_00472e10 _malloc _memset"
00401190,FUN_00401190,295,2,"FUN_00401490 FUN_00472de0 FUN_00472e10 FUN_00472e90 FUN_004971f0"
00401310,FUN_00401310,225,2,"FUN_00472e10 _malloc _memset"
00401400,FUN_00401400,88,0,"FUN_004971f0"
00401460,FUN_00401460,25,0,"FUN_00472e10"
00401490,FUN_00401490,32,3,""
004014d0,FUN_004014d0,18,2,""
00401590,FUN_00401590,132,4,""
00401680,FUN_00401680,61,1,""
004016c0,FUN_004016c0,61,1,""
00401700,FUN_00401700,21,1,"FUN_00472e10"
00401730,FUN_00401730,1371,1,"EnterCriticalSection FUN_00472de0 FUN_00472e10 LeaveCriticalSection _malloc _memset"
00401c90,FUN_00401c90,1690,1,"D3DXVec3Normalize FUN_00402420 FUN_004971f0 __security_check_cookie"
00402420,FUN_00402420,742,1,"FUN_00401400 FUN_00473a40"
00402740,FUN_00402740,18,2,""
00402790,FUN_00402790,34,1,""
004027c0,FUN_004027c0,74,2,""
00402880,FUN_00402880,52,0,""
00402960,FUN_00402960,21,1,"FUN_00472de0"
004029a0,FUN_004029a0,34,2,""
004029d0,FUN_004029d0,24,3,""
00402a20,FUN_00402a20,254,2,"FUN_00472e10 _malloc _memset"
00402b20,FUN_00402b20,1015,1,"FUN_00472de0 FUN_00472e10 FUN_004971f0"
00402fc0,FUN_00402fc0,16,1,""
00402ff0,FUN_00402ff0,613,1,"FUN_00403750 FUN_00462450 _malloc _memset"
00403260,FUN_00403260,99,2,"FUN_00462450"
004032d0,FUN_004032d0,741,1,"FUN_004679a0 FUN_0046a700 __security_check_cookie"
004035e0,FUN_004035e0,246,2,"FUN_00403800 FUN_00462450"
00403710,FUN_00403710,32,0,""
00403750,FUN_00403750,160,0,"_memset"
00403800,FUN_00403800,123,1,"FUN_00403750"
00403880,FUN_00403880,27,1,"FUN_00403800 FUN_00462450"
004038a0,FUN_004038a0,115,0,"FUN_00405380 _memset"
00403930,FUN_00403930,395,0,"FUN_00405010 FUN_00461a60 FUN_0046df40 FUN_00470990 FUN_00470a40 FUN_00472aa0 FUN_0047a1e1"
00403ac0,FUN_00403ac0,484,2,"EnterCriticalSection FUN_0046e620 FUN_00470e90 FUN_0047a261 LeaveCriticalSection _free"
00403d60,FUN_00403d60,22,1,"FUN_00404db0"
00403da0,FUN_00403da0,207,1,""
00403e70,FUN_00403e70,69,1,"FUN_00403da0 __security_check_cookie _vsprintf"
00403ec0,FUN_00403ec0,267,1,"FUN_00403da0 __security_check_cookie _sprintf"
00403fd0,FUN_00403fd0,267,2,"FUN_00403da0 __security_check_cookie _sprintf"
004040e0,FUN_004040e0,92,1,"FUN_00403da0 __security_check_cookie _vsprintf"
