340,   0,  0.31
360,  80,  0.36
380,  20,  0.41
460,  10,  0.48
580,  20,  0.88

1180, 200,  0.25
1230, 240, 0.32
1100, 200, -0.1
1260, 220, -1.3
1210, 160, -0.2


300, 400, 0.05
240, 410, 0.25
180, 610,0.1
280, 710, 0.4
100, 800, 0.7


 30, 720, 0.45
 40, 300, -0.3
 80, 900, -0.1
400, 600, 0.42
520, 540, -0.25

130, 720, 0.75
140, 300, 0.1
180, 900, -0.4
200, 710, -0.12
420, 540, -0.85


300, 200, 0.5
600, 800, -1.4
530, 840, 0.3
310, 520, -0.23
60,  610, 0.04

280, 110, 0.32
570, 690, 0.18
860, 810, 0.1
870, 780, 0.2
880, 750, 0.3


920, 940, -0.13
  0, 940, -0.3
1024, 60, 0.3
1000, 40, 0.14
 900,110, -0.2

1280,   0,  0.25
1200, 100, 0.32
1100,  50, -0.1
1010, 400, 1.3
1080, 300, 0.2


740,   0,  0.31
760,  10,  0.36
780,  20,  0.41
760, 100,  0.48
720, 260,  0.88

840, 200,  0.11
870, 210,  0.13
890, 220,  0.21
860, 300,  0.48
920, 360,  0.88



1280, 790,  0.25
1200, 900, 0.32
1100, 950, -0.1
1010, 900, -1.3
1000, 900, -0.2

1080, 690, 0.35
1000, 600, 0.82
1050, 650, 0.1
1210, 700, -1.6
1200, 640, -0.2



400, 900, 0.5
500, 940, -1.4
630, 960, 0.3
610, 880, -0.23
640, 890, 0.04

1280, 400,  0.25
1200, 440, 0.32
1100, 500, -0.1
1210, 320, -1.3
1260, 260, -0.2



200, 500, 0.5
300, 640, -1.4
330, 660, 0.3
410, 780, -0.23
440, 690, 0.04

 80, 700, 0.5
100, 740, -1.4
130, 860, 0.3
210, 880, -0.23
240, 910, 0.04


980, 80,  0.25
900, 40, 0.32
800,  0, -0.1
810, 120, -1.3
860, 160, -0.2

680, 180, 0.25
600, 240, 0.32
700, 100, -0.1
710, 150, -1.3
760, 160, -0.2


1080, 480, -0.25
1000, 440, -0.32
1100, 300, -0.1
1100, 350,  1.3
1600, 460, -0.2


780, 480,  0.25
720, 440, -0.32
750, 300, -0.1
800, 350,  1.3
820, 460, -0.2

