reimu,reimu,,nitori,15,50,0,0,0,35,0,0,0,0
marisa,marisa,,nitori,15,50,0,0,0,35,0,0,0,0
ichirin,ichirin,,nitori,10,50,0,0,0,40,10,0,0,0
hijiri,hijiri,,nitori,15,50,0,0,0,35,0,0,0,0
futo,futo,,nitori,15,50,0,0,0,35,0,0,0,0
miko,miko,,nitori,15,50,0,0,0,35,0,0,0,0
nitori,nitori,,nitori,15,50,0,0,0,35,0,0,0,0
koishi,koishi,,nitori,15,50,0,0,0,35,0,0,0,0
mamizou,mamizou,,nitori,15,50,0,0,0,35,0,0,0,0
kokoro,kokoro,,nitori,15,50,0,0,0,35,0,0,0,0
kasen,kasen,,nitori,15,50,0,0,0,35,0,0,0,0
mokou,mokou,,nitori,15,50,0,0,0,35,0,0,0,0
sinmyoumaru,sinmyoumaru,,nitori,15,50,0,0,0,35,0,0,0,0
usami,usami,,nitori,15,50,0,0,0,35,0,0,0,0
udonge,udonge,,nitori,15,50,0,0,0,35,0,0,0,0
doremy,doremy,,nitori,15,50,0,0,0,35,0,0,0,0
tenshi,tenshi,,nitori,15,50,0,0,0,35,0,0,0,0
yukari,yukari,,nitori,15,50,0,0,0,35,0,0,0,0
jyoon,jyoon,,nitori,10,50,0,0,0,20,20,0,0,0
reimu,reimu,,,30,0,0,0,0,70,0,0,0,0
marisa,marisa,,,30,0,0,0,0,70,0,0,0,0
ichirin,ichirin,,,30,0,0,0,0,50,20,0,0,0
hijiri,hijiri,,,30,0,0,0,0,70,0,0,0,0
futo,futo,,,30,0,0,0,0,70,0,0,0,0
miko,miko,,,30,0,0,0,0,70,0,0,0,0
nitori,nitori,,,30,0,0,0,0,70,0,0,0,0
koishi,koishi,,,30,0,0,0,0,70,0,0,0,0
mamizou,mamizou,,,30,0,0,0,0,70,0,0,0,0
kokoro,kokoro,,,30,0,0,0,0,70,0,0,0,0
kasen,kasen,,,30,0,0,0,0,70,0,0,0,0
mokou,mokou,,,30,0,0,0,0,70,0,0,0,0
sinmyoumaru,sinmyoumaru,,,30,0,0,0,0,70,0,0,0,0
usami,usami,,,30,0,0,0,0,70,0,0,0,0
udonge,udonge,,,30,0,0,0,0,70,0,0,0,0
doremy,doremy,,,30,0,0,0,0,70,0,0,0,0
tenshi,tenshi,,,30,0,0,0,0,70,0,0,0,0
yukari,yukari,,,30,0,0,0,0,70,0,0,0,0
jyoon,jyoon,,,30,0,0,0,0,35,35,0,0,0
