reimu,reimu,,,20,20,0,0,0,50,10,0,0,0
marisa,marisa,,,20,20,0,0,0,60,0,0,0,0
ichirin,ichirin,,,20,20,0,0,0,60,0,0,0,0
hijiri,hijiri,,,20,20,0,0,0,60,0,0,0,0
futo,futo,,,20,20,0,0,0,60,0,0,0,0
miko,miko,,,20,20,0,0,0,60,0,0,0,0
nitori,nitori,,,20,20,0,0,0,60,0,0,0,0
koishi,koishi,,,20,20,0,0,0,60,0,0,0,0
mamizou,mamizou,,,20,20,0,0,0,60,0,0,0,0
kokoro,kokoro,,,20,20,0,0,0,60,0,0,0,0
kasen,kasen,,,20,20,0,0,0,60,0,0,0,0
mokou,mokou,,,20,20,0,0,0,60,0,0,0,0
sinmyoumaru,sinmyoumaru,,,20,20,0,0,0,60,0,0,0,0
usami,usami,,,20,20,0,0,0,60,0,0,0,0
udonge,udonge,,,20,20,0,0,0,60,0,0,0,0
doremy,doremy,,,20,20,0,0,0,60,0,0,0,0
tenshi,tenshi,,,20,20,0,0,0,60,0,0,0,0
yukari,yukari,,,20,20,0,0,0,60,0,0,0,0
jyoon,jyoon,,,20,20,0,0,0,30,30,0,0,0
