entry,name,size,params,callees
00401000,FUN_00401000,98,0,"FUN_00402270 _memset"
00401080,FUN_00401080,391,0,"FUN_00401fd0 FUN_0044ab40 FUN_00454360 FUN_00456b70 FUN_00456c10 FUN_00458a10 FUN_0045fce4"
00401210,FUN_00401210,475,2,"EnterCriticalSection FUN_004549e0 FUN_00457080 FUN_0045fd49 LeaveCriticalSection _free"
004014a0,FUN_004014a0,22,1,"FUN_00401d50"
004014e0,FUN_004014e0,182,1,""
004015a0,FUN_004015a0,83,1,"FUN_004014e0 __security_check_cookie _vsprintf"
00401600,FUN_00401600,106,2,"FUN_004014e0 __security_check_cookie _vsprintf"
00401670,FUN_00401670,1612,2,"FUN_00401e40 FUN_0042a970 FUN_0044f880 FUN_0044fd10 FUN_0044fe30"
00401ce0,FUN_00401ce0,101,1,"FUN_00401670 FUN_0042a970 FUN_0044fd10"
00401d50,FUN_00401d50,124,1,""
00401dd0,FUN_00401dd0,6,0,""
00401e40,FUN_00401e40,81,1,""
00401ea0,FUN_00401ea0,62,0,"FUN_0042a970"
00401fd0,FUN_00401fd0,303,0,"_memset"
00402170,FUN_00402170,34,1,"_free"
004021a0,FUN_004021a0,33,0,""
00402270,FUN_00402270,101,1,"_memset"
00402300,FUN_00402300,231,0,"_free"
004023f0,FUN_004023f0,180,1,"_memset `eh_vector_constructor_iterator'"
004024c0,FUN_004024c0,630,1,"FUN_00403fc0 FUN_00456b70 FUN_00456c10 FUN_00458af0 FUN_0045fce4"
00402740,FUN_00402740,603,1,"EnterCriticalSection FUN_00402300 FUN_004549e0 FUN_00457080 FUN_0045fd49 LeaveCriticalSection _free `eh_vector_destructor_iterator'"
004029a0,FUN_004029a0,21,0,"FUN_00402300 FUN_0045fd49"
004029c0,FUN_004029c0,159,0,"FUN_004023f0 FUN_004024c0 FUN_00402740 FUN_0045fce4 FUN_0045fd49"
