0,26,4,0,0,0,70,0,0,0,0,0:reimu
1,26,4,0,0,0,70,0,0,0,0,1:marisa
2,26,4,0,0,0,60,10,0,0,0,2:ichirin
3,26,4,0,0,0,70,0,0,0,0,3:hijiri
4,26,4,0,0,0,70,0,0,0,0,4:futo
5,26,4,0,0,0,70,0,0,0,0,5:miko
6,26,4,0,0,0,60,10,0,0,0,6:nitori
7,26,4,0,0,0,70,0,0,0,0,7:koishi
8,26,4,0,0,0,70,0,0,0,0,8:mamizou
9,26,4,0,0,0,70,0,0,0,0,9:kokoro
10,26,4,0,0,0,70,0,0,0,0,10:kasen
11,26,4,0,0,0,60,10,0,0,0,11:mokou
12,26,4,0,0,0,70,0,0,0,0,12:sinmyoumaru
13,26,4,0,0,0,60,10,0,0,0,13:usami
label,common1,common2,common3,common4,common5,private1,private2,private3,private4,private5,
