0,30,0,0,0,0,60,10,0,0,0,0:reimu,,100
1,30,0,0,0,0,70,0,0,0,0,1:marisa,,100
2,30,0,0,0,0,70,0,0,0,0,2:ichirin,,100
3,30,0,0,0,0,70,0,0,0,0,3:hijiri,,100
4,30,0,0,0,0,70,0,0,0,0,4:futo,,100
5,30,0,0,0,0,70,0,0,0,0,5:miko,,100
6,30,0,0,0,0,60,10,0,0,0,6:nitori,,100
7,30,0,0,0,0,70,0,0,0,0,7:koishi,,100
8,30,0,0,0,0,70,0,0,0,0,8:mamizou,,100
9,30,0,0,0,0,70,0,0,0,0,9:kokoro,,100
10,30,0,0,0,0,70,0,0,0,0,10:kasen,,
11,30,0,0,0,0,70,0,0,0,0,11:mokou,,
12,30,0,0,0,0,70,0,0,0,0,12:sinmyoumaru,,
13,30,0,0,0,0,35,35,0,0,0,13:usami,,
label,common1,common2,common3,common4,common5,private1,private2,private3,private4,private5,,,
