reimu,reimu,,miko,10,50,0,0,0,30,10,0,0,0
marisa,marisa,,miko,15,50,0,0,0,35,0,0,0,0
ichirin,ichirin,,miko,15,50,0,0,0,35,0,0,0,0
hijiri,hijiri,,miko,15,50,0,0,0,35,0,0,0,0
futo,futo,,miko,15,50,0,0,0,35,0,0,0,0
miko,miko,,miko,15,50,0,0,0,35,0,0,0,0
nitori,nitori,,miko,15,50,0,0,0,35,0,0,0,0
koishi,koishi,,miko,15,50,0,0,0,35,0,0,0,0
mamizou,mamizou,,miko,15,50,0,0,0,35,0,0,0,0
kokoro,kokoro,,miko,15,50,0,0,0,35,0,0,0,0
kasen,kasen,,miko,15,50,0,0,0,35,0,0,0,0
mokou,mokou,,miko,15,50,0,0,0,35,0,0,0,0
sinmyoumaru,sinmyoumaru,,miko,15,50,0,0,0,35,0,0,0,0
usami,usami,,miko,15,50,0,0,0,35,0,0,0,0
udonge,udonge,,miko,15,50,0,0,0,35,0,0,0,0
doremy,doremy,,miko,15,50,0,0,0,35,0,0,0,0
tenshi,tenshi,,miko,15,50,0,0,0,35,0,0,0,0
yukari,yukari,,miko,15,50,0,0,0,35,0,0,0,0
jyoon,jyoon,,miko,10,50,0,0,0,20,20,0,0,0
reimu,reimu,,,30,0,0,0,0,50,20,0,0,0
marisa,marisa,,,30,0,0,0,0,70,0,0,0,0
ichirin,ichirin,,,30,0,0,0,0,70,0,0,0,0
hijiri,hijiri,,,30,0,0,0,0,70,0,0,0,0
futo,futo,,,30,0,0,0,0,70,0,0,0,0
miko,miko,,,30,0,0,0,0,70,0,0,0,0
nitori,nitori,,,30,0,0,0,0,70,0,0,0,0
koishi,koishi,,,30,0,0,0,0,70,0,0,0,0
mamizou,mamizou,,,30,0,0,0,0,70,0,0,0,0
kokoro,kokoro,,,30,0,0,0,0,70,0,0,0,0
kasen,kasen,,,30,0,0,0,0,70,0,0,0,0
mokou,mokou,,,30,0,0,0,0,70,0,0,0,0
sinmyoumaru,sinmyoumaru,,,30,0,0,0,0,70,0,0,0,0
usami,usami,,,30,0,0,0,0,70,0,0,0,0
udonge,udonge,,,30,0,0,0,0,70,0,0,0,0
doremy,doremy,,,30,0,0,0,0,70,0,0,0,0
tenshi,tenshi,,,30,0,0,0,0,70,0,0,0,0
yukari,yukari,,,30,0,0,0,0,70,0,0,0,0
jyoon,jyoon,,,30,0,0,0,0,35,35,0,0,0
