entry,name,size,params,callees
00401040,FUN_00401040,63,2,""
00401080,FUN_00401080,22,1,""
004010a0,FUN_004010a0,123,1,""
00401120,FUN_00401120,172,2,"EnterCriticalSection LeaveCriticalSection"
004011d0,FUN_004011d0,172,2,"EnterCriticalSection LeaveCriticalSection"
00401280,FUN_00401280,267,1,"EnterCriticalSection FUN_00401630 LeaveCriticalSection"
004013b0,FUN_004013b0,232,0,"EnterCriticalSection FUN_00401630 LeaveCriticalSection"
004014c0,FUN_004014c0,113,2,"EnterCriticalSection FUN_00401630 LeaveCriticalSection"
00401540,FUN_00401540,48,1,"FUN_00401280 FUN_004014c0 FUN_00403bb0"
00401570,FUN_00401570,104,1,"FUN_004854af"
004015e0,FUN_004015e0,79,2,"EnterCriticalSection FUN_00401630 LeaveCriticalSection"
00401630,FUN_00401630,170,2,"FID_conflict:_free"
004016f0,FUN_004016f0,40,3,"FUN_00401120 FUN_00401570"
00401720,FUN_00401720,40,3,"FUN_004011d0 FUN_00401570"
00401750,FUN_00401750,40,3,"FUN_00401120 FUN_00401570"
00401780,FUN_00401780,40,3,"FUN_004011d0 FUN_00401570"
004017b0,FUN_004017b0,133,0,"FUN_00403100 __security_check_cookie joyGetDevCapsA joyGetPosEx"
00401840,FUN_00401840,55,4,""
00401880,FUN_00401880,44,4,""
004018b0,FUN_004018b0,728,1,"FUN_0048f980 __security_check_cookie joyGetPosEx"
00401b90,FUN_00401b90,257,0,"FUN_0048f980 __security_check_cookie joyGetPosEx"
00401cd0,FUN_00401cd0,984,0,"FUN_004018b0 FUN_00407540 GetKeyboardState __security_check_cookie"
004020d0,FUN_004020d0,952,1,"FUN_004018b0 FUN_00407540 GetKeyboardState __security_check_cookie"
00402490,FUN_00402490,904,0,"FUN_004018b0 GetKeyboardState __security_check_cookie"
00402820,FUN_00402820,103,1,"FUN_0048f980 GetKeyboardState"
00402890,FUN_00402890,77,0,"GetKeyboardState SetKeyboardState __security_check_cookie"
004028e0,FUN_004028e0,263,6,"FID_conflict:_free FUN_00487620 _malloc"
004029f0,FUN_004029f0,268,6,"FID_conflict:_free FUN_00487620 _malloc"
