key,name,path,volume,category,cue
type,string,string,float,integer,bool
,,,,,
2800,,data/se/kokoro/2800.wav,0.8,1,true
2801,,data/se/common/h001.wav,0.9,1,true
2802,,data/se/kokoro/2802.wav,0.9,1,true
2803,,data/se/common/h002.wav,0.9,1,true
2804,,data/se/kokoro/2804.wav,0.9,1,true
2805,,data/se/common/h003.wav,0.9,1,true
2806,,data/se/kokoro/2806.wav,0.9,1,true
2807,,data/se/common/h003.wav,0.9,1,true
2808,,data/se/kokoro/2808.wav,0.6,1,true
2809,,data/se/common/h002.wav,0.9,1,true
2810,,data/se/kokoro/2810.wav,0.6,1,true
2811,,data/se/common/h030.wav,0.9,1,true
2812,,data/se/kokoro/2812.wav,0.8,1,true
2813,,data/se/kokoro/2813.wav,0.9,1,true
2814,,data/se/kokoro/2800.wav,0.8,1,true
2815,,data/se/common/h001.wav,0.9,1,true
2816,,data/se/kokoro/2816.wav,0.7,1,true
2817,,data/se/kokoro/2817.wav,1,1,true
,,,,,
,,,,,
,,,,,
2820,,data/se/kokoro/2820.wav,0.7,1,true
2821,,data/se/common/s022.wav,0.8,1,true
2822,,data/se/kokoro/2822.wav,0.9,1,true
2823,,data/se/common/s005_4.wav,1,1,true
2824,,data/se/kokoro/2824.wav,0.9,1,true
2825,,data/se/common/s006.wav,0.9,1,true
2826,,data/se/kokoro/2826.wav,0.9,1,true
2827,,data/se/kokoro/2827.wav,0.9,1,true
2828,,data/se/common/s005_4.wav,1,1,true
,,,,,
,,,,,
2900,,data/se/kokoro/2900.wav,0.7,1,true
2901,,data/se/common/h003.wav,0.9,1,true
2902,,data/se/kokoro/2902.wav,0.9,1,true
2903,,data/se/kokoro/2820.wav,0.7,1,true
2904,,data/se/common/s022.wav,0.8,1,true
2905,,data/se/kokoro/2905.wav,0.9,1,true
2906,,data/se/common/s064.wav,0.9,1,true
2907,,data/se/kokoro/2907.wav,0.9,1,true
2908,,data/se/common/h053_2.wav,0.7,1,true
,,,,,
2909,,data/se/kokoro/2909.wav,0.8,1,true
2910,,data/se/common/h053_2.wav,0.7,1,true
2911,,data/se/kokoro/2911.wav,0.9,1,true
2912,,data/se/kokoro/2912.wav,0.9,1,true
2913,,data/se/kokoro/2913.wav,0.9,1,true
2914,,data/se/kokoro/2914.wav,1,1,true
2915,,data/se/common/s006_3.wav,1,1,true
2916,,data/se/kokoro/2916.wav,0.9,1,true
2917,,data/se/kokoro/2917.wav,0.8,1,true
2918,,data/se/kokoro/2918.wav,0.8,1,true
2919,,data/se/common/s003_4.wav,1,1,true
2920,,data/se/common/s003_4.wav,1,1,true
2921,,data/se/kokoro/2921.wav,0.9,1,true
2922,,data/se/kokoro/2922.wav,1,1,true
2923,,data/se/common/s064.wav,0.9,1,true
2924,,data/se/common/h003.wav,0.9,1,true
2925,,data/se/kokoro/2925.wav,0.9,1,true
2926,,data/se/kokoro/2926.wav,1,1,true
2927,,data/se/kokoro/2927.wav,0.9,1,true
2928,,data/se/common/h037.wav,0.9,1,true
2929,,data/se/kokoro/2929.wav,0.9,1,true
2930,,data/se/kokoro/2930.wav,0.8,1,true
2931,,data/se/kokoro/2931.wav,0.9,1,true
2932,,data/se/kokoro/2932.wav,0.9,1,true
2933,,data/se/kokoro/2933.wav,1,1,true
2934,,data/se/kokoro/2934.wav,0.9,1,true
2935,,data/se/kokoro/2935.wav,0.9,1,true
,,,,,
2950,,data/se/kokoro/2950.wav,0.9,1,true
2951,,data/se/kokoro/2951.wav,1,1,true
2952,,data/se/common/s064.wav,0.8,1,true
2953,,data/se/kokoro/2952.wav,1,1,true
2954,,data/se/common/s064.wav,0.8,1,true
2955,,data/se/kokoro/2955.wav,0.9,1,true
2956,,data/se/common/h003.wav,0.9,1,true
,,,,,
2980,,data/se/kokoro/2980.wav,0.9,1,true
2981,,data/se/kokoro/2981.wav,0.9,1,true
2982,,data/se/kokoro/2982.wav,0.9,1,true
2983,,data/se/kokoro/2983.wav,1,1,true
2984,,data/se/kokoro/2984.wav,1,1,true
2985,,data/se/kokoro/2985.wav,1,1,true
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2990,,data/se/kokoro/2990.wav,0.7,1,true
2991,,data/se/kokoro/2902.wav,0.9,1,true
2992,,data/se/kokoro/2992.wav,0.9,1,true
,,,,,
2993,,data/se/kokoro/2993.wav,0.8,1,true
2994,,data/se/kokoro/2994.wav,0.9,1,true
2995,,data/se/common/s004_3.wav,1,1,true
2996,,data/se/kokoro/2996.wav,0.9,1,true
2997,,data/se/kokoro/2997.wav,0.9,1,true
,,,,,
2970,,data/se/kokoro/2970.wav,0.9,1,true
2971,,data/se/common/s010_2.wav,0.9,1,true
2972,,data/se/kokoro/2972.wav,0.9,1,true
2973,,data/se/common/s010_2.wav,0.9,1,true
2974,,data/se/kokoro/2900.wav,0.7,1,true
2975,,data/se/kokoro/2975.wav,0.9,1,true
2976,,data/se/common/h003.wav,0.9,1,true
2977,,data/se/kokoro/2977.wav,0.9,1,true
