reimu,reimu,,doremy,15,50,0,0,0,35,0,0,0,0
marisa,marisa,,doremy,15,50,0,0,0,35,0,0,0,0
ichirin,ichirin,,doremy,15,50,0,0,0,35,0,0,0,0
hijiri,hijiri,,doremy,15,50,0,0,0,35,0,0,0,0
futo,futo,,doremy,15,50,0,0,0,35,0,0,0,0
miko,miko,,doremy,15,50,0,0,0,35,0,0,0,0
nitori,nitori,,doremy,15,50,0,0,0,35,0,0,0,0
koishi,koishi,,doremy,15,50,0,0,0,35,0,0,0,0
mamizou,mamizou,,doremy,15,50,0,0,0,35,0,0,0,0
kokoro,kokoro,,doremy,15,50,0,0,0,35,0,0,0,0
kasen,kasen,,doremy,15,50,0,0,0,35,0,0,0,0
mokou,mokou,,doremy,15,50,0,0,0,35,0,0,0,0
sinmyoumaru,sinmyoumaru,,doremy,15,50,0,0,0,35,0,0,0,0
usami,usami,,doremy,15,50,0,0,0,35,0,0,0,0
udonge,udonge,,doremy,15,50,0,0,0,35,0,0,0,0
tenshi,tenshi,,doremy,15,50,0,0,0,35,0,0,0,0
yukari,yukari,,doremy,15,50,0,0,0,35,0,0,0,0
jyoon,jyoon,,doremy,10,50,0,0,0,20,20,0,0,0
reimu,reimu,,,30,0,0,0,0,70,0,0,0,0
marisa,marisa,,,30,0,0,0,0,70,0,0,0,0
ichirin,ichirin,,,30,0,0,0,0,70,0,0,0,0
hijiri,hijiri,,,30,0,0,0,0,70,0,0,0,0
futo,futo,,,30,0,0,0,0,70,0,0,0,0
miko,miko,,,30,0,0,0,0,70,0,0,0,0
nitori,nitori,,,30,0,0,0,0,70,0,0,0,0
koishi,koishi,,,30,0,0,0,0,70,0,0,0,0
mamizou,mamizou,,,30,0,0,0,0,70,0,0,0,0
kokoro,kokoro,,,30,0,0,0,0,70,0,0,0,0
kasen,kasen,,,30,0,0,0,0,70,0,0,0,0
mokou,mokou,,,30,0,0,0,0,70,0,0,0,0
sinmyoumaru,sinmyoumaru,,,30,0,0,0,0,70,0,0,0,0
usami,usami,,,30,0,0,0,0,70,0,0,0,0
udonge,udonge,,,30,0,0,0,0,70,0,0,0,0
doremy,doremy,,,30,0,0,0,0,50,20,0,0,0
tenshi,tenshi,,,30,0,0,0,0,70,0,0,0,0
yukari,yukari,,,30,0,0,0,0,70,0,0,0,0
jyoon,jyoon,,,30,0,0,0,0,35,35,0,0,0
