":init_scene",,,,
"inherit_demo",,,,
"#自機狙い＋マグマ",,,,
"adjust_distance",,,,
":routine_1",repeat=true,,,
"",pattern_1_1,,,
"life_is_0_down",,,,
"#横に流れる攻撃",,,,
":routine_2",repeat=true,,,
"",pattern_4_1,,,
"life_is_0_down",,,,
"#バウンド弾＋レーザー(太)",,,,
"adjust_distance",,,,
":routine_3",repeat=true,,,
"",pattern_2_1,,,
"life_is_0_down",,,,
"#反射レーザー(細x3)",,,,
"adjust_distance",,,,
":routine_4",repeat=true,,,
"",pattern_5_1,,,
"life_is_0_down",,,,
"#メガフレア(仮)",,,,
":routine_5",repeat=true,,,
"",pattern_3_1,,,
"dead",,,,
"kick_event_demo",,,,
