key,name,path,volume,category,cue,info
type,string,string,float,integer,bool,string
,,,,,,
1000,,data/se/common/h001.wav,0.9,1,true,
1001,,,0.9,1,true,
1002,,data/se/common/h003.wav,0.9,1,true,
1003,,data/se/common/h003.wav,0.9,1,true,
1004,,data/se/common/h003.wav,0.9,1,true,
1005,,data/se/common/h003.wav,0.9,1,true,
1006,,data/se/common/h002.wav,0.9,1,true,
1007,,data/se/common/h003.wav,0.9,1,true,
1010,,,0.9,1,true,
1011,,data/se/common/h002.wav,0.9,1,true,
1012,,,0.9,1,true,
1020,,data/se/common/s002.wav,0.9,1,true,
1021,,data/se/common/s003.wav,0.9,1,true,
1022,,data/se/common/s001.wav,0.9,1,true,
1030,,data/se/common/s004_2.wav,1,1,true,
1031,,data/se/common/s010_2.wav,0.85,1,true,
1032,,data/se/common/h005.wav,0.9,1,true,
1033,,data/se/common/h003.wav,0.9,1,true,
1034,,data/se/common/s007_4.wav,1,1,true,
,,,,,,
1050,,data/se/reimu/1050.wav,0.7,1,true,
1051,,data/se/reimu/1055.wav,0.75,1,true,
1052,,data/se/reimu/1052.wav,0.65,1,true,
1053,,data/se/reimu/1053.wav,0.75,1,true,
1054,,data/se/reimu/1054.wav,0.75,1,true,
1055,,data/se/reimu/1055.wav,0.75,1,true,
1056,,data/se/reimu/1056.wav,0.7,1,true,
1057,,data/se/reimu/1057.wav,0.75,1,true,
1060,,data/se/reimu/1050.wav,0.7,1,true,
1061,,data/se/reimu/1061.wav,0.7,1,true,
1062,,data/se/reimu/1062.wav,0,1,true,
1063,,data/se/reimu/1063.wav,0.7,1,true,
1070,,data/se/reimu/1070.wav,0.9,1,true,
1071,,data/se/reimu/1071.wav,0.9,1,true,
1072,,data/se/reimu/1072.wav,0.9,1,true,
1073,,data/se/reimu/1101.wav,0.8,1,true,
,,,,,,
1090,,data/se/reimu/1090.wav,0.6,1,true,
1091,,data/se/reimu/1091.wav,0.6,1,true,
1092,,data/se/reimu/1092.wav,1,1,true,
1093,,data/se/reimu/1093.wav,0.9,1,true,
1094,,data/se/reimu/1094.wav,1,1,true,
1095,,data/se/reimu/1095.wav,1,1,true,
,,,,,,
,,,,,,
1100,,data/se/reimu/1100.wav,1,1,true,
1101,,data/se/reimu/1101.wav,0.8,1,true,
1102,,data/se/reimu/1102.wav,0.8,1,true,
1103,,data/se/reimu/1103.wav,0.85,1,true,
1104,,data/se/reimu/1104.wav,0.7,1,true,
1105,,data/se/reimu/1105.wav,0.85,1,true,
1106,,data/se/reimu/1106.wav,0.85,1,true,
1107,,data/se/reimu/1107.wav,0.85,1,true,
1108,,data/se/reimu/1108.wav,0.85,1,true,
1109,,data/se/reimu/1109.wav,1,1,true,
1110,,data/se/reimu/1071.wav,0.9,1,true,
1111,,data/se/reimu/1111.wav,0.9,1,true,
1112,,data/se/common/s003.wav,0.9,1,true,
,,,,,,
,,,,,,
1150,,data/se/reimu/1150.wav,1,1,true,
1155,,data/se/reimu/1155.wav,1,1,true,
1156,,data/se/reimu/1156.wav,1,1,true,
1157,,data/se/common/s003.wav,1,1,true,
1160,,data/se/reimu/1160.wav,1,1,true,
1161,,data/se/reimu/1156.wav,1,1,true,
1162,,data/se/common/s005_3.wav,1,1,true,
1163,,data/se/common/s005_4.wav,1,1,true,
1165,,data/se/reimu/1165.wav,1,1,true,
1166,,data/se/common/s005_4.wav,1,1,true,
1170,,data/se/reimu/1170.wav,1,1,true,
1174,,data/se/reimu/1174.wav,1,1,true,
1175,,data/se/reimu/1175.wav,1,1,true,
1176,,data/se/reimu/1176.wav,1,1,true,
1177,,data/se/common/s006.wav,1,1,true,
1178,,data/se/common/s003.wav,1,1,true,
,,,,,,
1190,,data/se/reimu/1190.wav,1,1,true,
1191,,data/se/reimu/1191.wav,0.75,1,true,
1192,,data/se/reimu/1192.wav,1,1,true,
1193,,data/se/reimu/1193.wav,0.8,1,true,
