key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,決1,default,普1,default,負1,default,負1,win_front,a,,完全憑依の原因はよく判らないが\n暴れるチャンスが二倍に\nなったってことだな\,,,,,,,,
common2,default,普1,default,普1,default,負1,default,負1,win_front,a,,私の火と\R[魔理沙|おまえ]の火は\nどうやら別の火みたいだな\,,惑1,a,組んでも火力が上がらん\nこれでは意味が無い\,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,暫くは異変解決しなくて良いぜ\n楽しいからな\,,,,,,,,
marisa1,default,余1,default,普1,default,負1,default,負1,win_front,a,,今度は私と組もうな\n最強の火力でぬるま湯の奴らを\n焼き尽くそう！\,,,,,,,,
ichirin1,default,普2,default,普1,default,負1,default,負1,win_front,a,,お前に憑依したスレイブに\n念仏でも唱えてやれよ\,,,,,,,,
hijiri1,default,決1,default,普1,default,負1,default,負1,win_front,a,,パワー勝負してみたいと\n思ってたんだ\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,元気を出せ\n私が勝つのは当たり前なんだから\,,,,,,,,
miko1,default,余1,default,普1,default,負1,default,負1,win_front,a,,さすがの大物も\n組み合わせが悪ければ\n見る影もないな\,,,,,,,,
nitori1,default,決1,default,普1,default,負1,default,負1,win_front,a,,そんな水量じゃあ\n私の怨嗟の炎は消せないな\,,,,,,,,
koishi1,default,普1,default,普1,default,負1,default,負1,win_front,a,,地底にはもっと強い奴も\n居るだろうに、なんでこんな奴と\n戦わなきゃいけないんだ\,,,,,,,,
mamizou1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,その大胆かつ飄々とした\n戦い方は、私と組むのに\nピッタリじゃないか？\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,表情から感情が読めないって\n不気味なんだな\,,,,,,,,
kasen1,default,普1,default,普1,default,負1,default,負1,win_front,a,,ヘタな仙人より\n長く生きているからな\,,,,,,,,
mokou1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,狸の旦那だろ？\n悪ふざけも大概にしな\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,小さくても、見所あるな\n中々楽しかったぞ\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,お前に完全憑依をしたら\n外の世界にいけるのか？\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お前何か知ってそうだな\nやっぱりこの異変も\n月の民の仕業なのか？\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の支配者だと？\nそんな子供騙しの話\n信じられるもんか\,,,,,,,,
tenshi1,default,決1,default,普1,default,負1,default,負1,win_front,a,,ふざけた奴だが、力は本物だな\n生まれつきの才能なのか\n出鱈目な力を持っている\,,,,,,,,
tenshi2,default,驚1,default,普1,default,負1,default,負1,win_front,a,,天人にも寿命は無いのか\,,汗1,a,その上で、その底抜けの軽さ\n尊敬するべきかもな\,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,お前が出てくると\n何だか気持ち悪くなるんだよ\,,,,,,,,
jyoon1,default,普2,default,普1,default,負1,default,負1,win_front,a,,いけ好かない奴だ\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,私の服の継ぎ当ては\n請求書じゃないぞ？\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
