"#総ステージ数"
8
"#ステージ","登場敵","カード数",
0,"Yuyuko",3,1,
"#使用カードEASY","使用カードNOR","使用カードHARD","使用カードLUNA"
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
1"#ステージ","登場敵",,
1,"Suika",3,1,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,
2,"Patchouli",3,2,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,
3,"Alice",4,2,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,
4,"Marisa",4,3,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,
5,"Sakuya",6,3,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,2
"#ステージ","登場敵",,
6,"Youmu",6,4,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,2
"#ステージ","登場敵",,
7,"Reimu",7,5,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,1
16,17,18,19,2
