key,name,path,volume,category,cue,info
type,string,string,float,integer,bool,string
,,,,,,
1600,,data/se/hijiri/1600.wav,0.9,1,true,
1601,,data/se/hijiri/1601.wav,0.8,1,true,
1602,,data/se/common/h019.wav,0.9,1,true,
1603,,data/se/hijiri/1601.wav,1,1,true,
1604,,data/se/common/h002.wav,0.9,1,true,
1605,,data/se/hijiri/1605.wav,0.9,1,true,
1606,,data/se/common/h003.wav,0.9,1,true,
1607,,data/se/hijiri/1607.wav,0.8,1,true,
1608,,data/se/common/h073_3.wav,0.9,1,true,
1609,,data/se/hijiri/1609.wav,0.9,1,true,
1610,,data/se/hijiri/1610.wav,0.9,1,true,
1611,,data/se/common/h002.wav,0.9,1,true,
1612,,data/se/common/h030.wav,1,1,true,
1613,,data/se/hijiri/1613.wav,0.8,1,true,
1614,,data/se/common/h073_3.wav,0.9,1,true,
1615,,data/se/hijiri/1615.wav,0.9,1,true,
1616,,data/se/hijiri/1616.wav,1,1,true,
1617,,data/se/common/h073_3.wav,0.9,1,true,
1618,,data/se/common/h030.wav,1,1,true,
1619,,data/se/hijiri/1619.wav,0.9,1,true,
1620,,data/se/common/h030.wav,1,1,true,
1621,,data/se/hijiri/1621.wav,0.7,1,true,
1622,,data/se/hijiri/1622.wav,1,1,true,
1623,,data/se/hijiri/1623.wav,0.9,1,true,
1624,,data/se/hijiri/1624.wav,0.8,1,true,
1625,,data/se/hijiri/1625.wav,0.5,1,true,
1626,,data/se/hijiri/1626.wav,0.9,1,true,
1627,,data/se/hijiri/1627.wav,0.7,1,true,
1628,,data/se/common/s002_2.wav,1,1,true,
1629,,data/se/hijiri/1629.wav,0.9,1,true,
1630,,data/se/common/h073_3.wav,0.9,1,true,
1700,,data/se/hijiri/1700.wav,0.9,1,true,
1701,,data/se/hijiri/1701.wav,0.9,1,true,
1702,,data/se/common/h073_2.wav,0.9,1,true,
1703,,data/se/common/h074.wav,1,1,true,
1704,,data/se/hijiri/1704.wav,0.9,1,true,
1705,,data/se/common/h030.wav,1,1,true,
1706,,data/se/hijiri/1706.wav,0.9,1,true,
1707,,data/se/hijiri/1707.wav,0.9,1,true,
1708,,data/se/hijiri/1708.wav,0.9,1,true,
1709,,data/se/common/h030.wav,1,1,true,
1710,,data/se/hijiri/1710.wav,0.8,1,true,
1711,,data/se/common/h044.wav,1,1,true,
1712,,data/se/hijiri/1712.wav,0.8,1,true,
1713,,data/se/hijiri/1713.wav,0.9,1,true,
1714,,data/se/common/h074.wav,1,1,true,
1715,,data/se/hijiri/1715.wav,0.9,1,true,
1716,,data/se/common/h044.wav,1,1,true,
1717,,data/se/hijiri/1701.wav,0.9,1,true,
1718,,data/se/common/h074.wav,1,1,true,
1719,,data/se/hijiri/1719.wav,0.9,1,true,
1720,,data/se/common/h030.wav,1,1,true,
1721,,data/se/hijiri/1721.wav,1,1,true,
1724,,data/se/hijiri/1724.wav,0.8,1,true,
1725,,data/se/hijiri/1725.wav,1,1,true,
1726,,data/se/hijiri/1734.wav,1,1,true,
1727,,data/se/hijiri/1736.wav,0.9,1,true,
,,,,,,
1730,,data/se/hijiri/1730.wav,1,1,true,
1731,,data/se/hijiri/1731.wav,0.9,1,true,
1732,,data/se/hijiri/1732.wav,1,1,true,
1733,,data/se/hijiri/1733.wav,0.9,1,true,
1734,,data/se/hijiri/1734.wav,1,1,true,
1735,,data/se/reimu/1192.wav,1,1,true,
1736,,data/se/hijiri/1736.wav,0.9,1,true,
,,,,,,
1740,,data/se/hijiri/1740.wav,1,1,true,
1741,,data/se/common/s004_3.wav,1,1,true,
1742,,data/se/hijiri/1742.wav,1,1,true,
1743,,data/se/hijiri/1743.wav,1,1,true,
1744,,data/se/hijiri/1732.wav,1,1,true,
1745,,data/se/hijiri/1745.wav,1,1,true,
1746,,data/se/hijiri/1746.wav,1,1,true,
1747,,data/se/common/h030.wav,1,1,true,
1748,,data/se/reimu/1192.wav,1,1,true,
,,,,,,
1750,,data/se/hijiri/1750.wav,0.6,1,true,
1751,,data/se/hijiri/1740.wav,1,1,true,
1752,,data/se/hijiri/1752.wav,0.9,1,true,
1753,,data/se/hijiri/1753.wav,1,1,true,
1754,,data/se/hijiri/1754.wav,0.9,1,true,
1755,,data/se/hijiri/1755.wav,0.8,1,true,
1756,,data/se/common/h003.wav,0.9,1,true,
1757,,data/se/hijiri/1757.wav,0.9,1,true,
1758,,data/se/hijiri/1758.wav,0.9,1,true,
1759,,data/se/common/h030.wav,1,1,true,
1760,,data/se/hijiri/1760.wav,0.9,1,true,
1761,,data/se/hijiri/1732.wav,1,1,true,
1762,,data/se/hijiri/1710.wav,0.8,1,true,
1763,,data/se/common/h044.wav,1,1,true,
1764,,data/se/common/h044.wav,1,1,true,
1765,,data/se/hijiri/1708.wav,0.9,1,true,
1766,,data/se/hijiri/1753.wav,1,1,true,
1767,,data/se/hijiri/1713.wav,0.9,1,true,
