":init_scene",,,,
"inherit_demo",,,,
"#通常１",,,,
":routine_1",repeat=true,,,
"",pattern_1_1,,,
"life_is_0_down",,,,
"#通常２",,,,
"adjust_distance",,,,
":routine_2",repeat=true,,,
"",pattern_1_2,,,
"life_is_0_down",,,,
"kick_event_demo",,,,
"#幽霊案内",,,,
"adjust_distance",,,,
":routine_3",repeat=true,,,
"",pattern_2_1,,,
"life_is_0_down",,,,
"#幽霊集合",,,,
":routine_4",repeat=true,,,
"",pattern_3_1,,,
"life_is_0_down",,,,
"#幽霊吟唱(リサイタル)",,,,
":routine_5",repeat=true,,,
"",pattern_4_1,,,
"dead",,,,
"kick_event_demo",,,,
