0,10,10,10,10,10,50,0,0,0,0,0:reimu,,100
1,10,10,10,10,10,50,0,0,0,0,1:marisa,,100
2,10,10,10,10,10,50,0,0,0,0,2:ichirin,,100
3,10,10,10,10,10,50,0,0,0,0,3:hijiri,,100
4,10,10,10,10,10,50,0,0,0,0,4:futo,,100
5,10,10,10,10,10,50,0,0,0,0,5:miko,,100
6,10,10,10,10,10,50,0,0,0,0,6:nitori,,100
7,10,10,10,10,10,40,10,0,0,0,7:koishi,,100
8,10,10,10,10,10,50,0,0,0,0,8:mamizou,,100
9,10,10,10,10,10,50,0,0,0,0,9:kokoro,,100
label,common1,common2,common3,common4,common5,private1,private2,private3,private4,private5,,,
