entry,name,size,params,callees
00401000,FUN_00401000,251,0,""
00401110,FUN_00401110,330,0,"FUN_00401de0 FUN_0043e5a0 FUN_00447280 FUN_00449ae0 FUN_00449b70 FUN_00449ed0 FUN_0044b810"
00401260,FUN_00401260,467,1,"EnterCriticalSection FUN_00447810 FUN_00449f60 LeaveCriticalSection _free _free"
00401440,FUN_00401440,69,0,"FUN_00401000 FUN_00401110 FUN_00401260 _free operator_new"
00401520,FUN_00401520,10,0,"FUN_00401a50"
00401530,FUN_00401530,132,1,""
00401630,FUN_00401630,85,2,"FUN_00401530 __security_check_cookie _vsprintf"
00401690,FUN_00401690,100,1,"FUN_00401530 __security_check_cookie _vsprintf"
00401760,FUN_00401760,738,1,"FUN_004215a0 FUN_00442f50 FUN_00443080"
00401a50,FUN_00401a50,570,0,"FUN_004215a0 FUN_00442f50 FUN_00443080 FUN_00443290"
00401d20,FUN_00401d20,60,0,"FUN_004215a0"
00401de0,FUN_00401de0,273,2,""
00401ff0,FUN_00401ff0,34,1,"_free"
00402050,FUN_00402050,88,1,""
00402160,FUN_00402160,188,1,"`eh_vector_constructor_iterator'"
00402230,FUN_00402230,522,2,"FUN_00403850 FUN_00449ae0 FUN_00449b70 FUN_00449ed0 FUN_0044b8e0"
00402440,FUN_00402440,499,1,"EnterCriticalSection FUN_00447810 FUN_00449f60 LeaveCriticalSection _free _free `eh_vector_destructor_iterator'"
00402640,FUN_00402640,151,2,"FUN_00402160 FUN_00402230 FUN_00402440 _free operator_new"
00402720,FUN_00402720,304,0,"D3DXVec3Normalize FUN_00403990 FUN_00403c80 FUN_0043ee30"
00402850,FUN_00402850,1099,1,"FUN_00403a30 FUN_00405300 FUN_00405410 FUN_00420cd0 FUN_004215a0 FUN_0043c8b0 FUN_00442f50 FUN_004451c0"
00402ca0,FUN_00402ca0,929,1,"FUN_00403a30 FUN_004215a0 FUN_00442f50 FUN_00448980 FUN_0044bf40"
00403090,FUN_00403090,1984,3,"D3DXMatrixTranslation D3DXVec3ProjectArray"
00403850,FUN_00403850,308,1,"FUN_00447280 FUN_0044b360 FUN_0044b810 _malloc"
00403990,FUN_00403990,148,0,"FUN_0043ee30"
00403a30,FUN_00403a30,586,1,"FUN_00403090 FUN_004215a0 FUN_00442f50 FUN_004451c0"
00403c80,FUN_00403c80,1806,1,"FUN_00404610 FUN_004049a0 FUN_00404ed0 FUN_00404f30 FUN_00405040 FUN_00405410 FUN_00463b2c"
00404450,FUN_00404450,203,1,"FUN_00404f30"
00404530,FUN_00404530,119,0,"FUN_0043c8b0"
004045b0,FUN_004045b0,92,0,""
00404610,FUN_00404610,887,0,"FUN_0044c350 FUN_00463b2c"
004049a0,FUN_004049a0,688,1,"FUN_00404d40 FUN_00404da0 FUN_00404e10 FUN_0044c350 FUN_00463b2c"
00404d40,FUN_00404d40,92,1,"FUN_00463b2c"
00404da0,FUN_00404da0,101,1,"FUN_00463b2c"
00404e10,FUN_00404e10,92,1,"FUN_00463b2c"
00404ed0,FUN_00404ed0,72,0,"FUN_00463b2c"
00404f30,FUN_00404f30,202,2,"FUN_00401de0 FUN_0043e710"
00405040,FUN_00405040,94,6,"FUN_00463b2c"
004050d0,FUN_004050d0,50,0,""
00405300,FUN_00405300,60,0,"FUN_00421480"
00405410,FUN_00405410,57,1,""
004054b0,FUN_004054b0,79,3,"FUN_0043e5a0"
00405500,FUN_00405500,81,0,""
004055c0,FUN_004055c0,84,0,"FUN_00449ae0 FUN_00449b70 FUN_00449ed0"
00405620,FUN_00405620,137,1,"EnterCriticalSection FUN_00449f60 LeaveCriticalSection"
004056b0,FUN_004056b0,85,0,"FUN_004055c0 FUN_00405620 _free operator_new"
00405750,FUN_00405750,223,1,"FUN_00404ed0 FUN_00405ac0 FUN_004491c0 FUN_004492f0"
00405860,FUN_00405860,397,1,"FUN_004054b0 FUN_00405500 FUN_0043dd10 FUN_00448db0"
004059f0,FUN_004059f0,202,1,""
00405ac0,FUN_00405ac0,124,0,"FUN_00408100 FUN_0041c800"
00405b60,FUN_00405b60,42,1,""
00405be0,FUN_00405be0,158,0,""
00405d00,FUN_00405d00,215,1,""
00405de0,FUN_00405de0,34,1,"_free"
00405e20,FUN_00405e20,163,0,"FUN_00447280 FUN_00449ae0 FUN_00449b70 FUN_00449ed0 FUN_0044b810"
00405ed0,FUN_00405ed0,45,1,"FUN_004493e0"
00405f70,FUN_00405f70,236,1,"EnterCriticalSection FUN_004493e0 FUN_00449f60 LeaveCriticalSection `eh_vector_destructor_iterator'"
00406060,FUN_00406060,182,0,"FUN_00405e20 FUN_00405f70 _free `eh_vector_constructor_iterator' operator_new"
00406160,FUN_00406160,109,3,""
004061d0,FUN_004061d0,109,3,""
